target,model,contrast_candidate,feature,r_squared,adj_r_squared,raw_coef,std_coef,std_error_ols,std_error_hc3,t_stat_hc3,p_value_hc3,ci_95_hc3_lower,ci_95_hc3_upper,ci_95_boot_lower,ci_95_boot_upper,std_coef_no_influential,vif,bp_hetero_pvalue,jb_normality_pvalue,influential_cases_count,p_value_holm
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_ita,fst_dark,0.937,0.9353,0.5031,0.9151,0.0212,0.0394,12.7794,0.0,0.4254,0.5807,0.4282,0.5649,0.9164,4.54,0.0,0.0,14,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_ita,lesion_size,0.937,0.9353,0.3848,0.0515,0.1376,0.1376,2.7956,0.0057059800176826325,0.1133,0.6562,0.2076,0.7485,0.0434,1.03,0.0,0.0,14,0.0057059800176826325
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_ita,artifacts,0.937,0.9353,-0.0905,-0.0617,0.0389,0.1106,-0.818,0.4143904667192606,-0.3086,0.1277,-0.2718,0.0688,-0.0883,2.14,0.0,0.0,14,0.4143904667192606
boundary_ambiguity_class_c,Model_1_Univariate,delta_e_ab,delta_e_ab,0.3074,0.3039,-0.0069,-0.5544,0.0007,0.0016,-4.2837,2.878043901444194e-05,-0.0101,-0.0037,-0.0104,-0.0043,-0.9357,1.0,0.0,0.0,11,2.878043901444194e-05
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_e_ab,delta_e_ab,0.934,0.933,0.0007,0.06,0.0003,0.0007,1.0794,0.2817526108106505,-0.0006,0.0021,-0.0003,0.0021,0.0216,1.73,0.0,0.0,12,0.2817526108106505
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_e_ab,fst_medium,0.934,0.933,0.0573,0.1119,0.0119,0.0106,5.4218,1.7411661135113832e-07,0.0365,0.0782,0.0397,0.0769,0.1013,1.58,0.0,0.0,12,1.7411661135113832e-07
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_e_ab,fst_dark,0.934,0.933,0.5815,1.0577,0.0157,0.0309,18.7985,0.0,0.5205,0.6425,0.5328,0.6426,1.0504,2.4,0.0,0.0,12,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_e_ab,delta_e_ab,0.9423,0.9408,0.0022,0.1773,0.0004,0.0008,2.6763,0.008088069882294935,0.0006,0.0038,0.0009,0.0039,0.1292,4.02,0.0,0.0,16,0.024264209646884805
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_e_ab,fst_medium,0.9423,0.9408,0.0671,0.1309,0.0114,0.0118,5.7007,4.4411151423062734e-08,0.0439,0.0903,0.0485,0.0909,0.1205,1.65,0.0,0.0,16,4.4411151423062734e-08
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_e_ab,fst_dark,0.9423,0.9408,0.6221,1.1316,0.018,0.0329,18.9126,0.0,0.5573,0.687,0.5735,0.6955,1.1231,3.57,0.0,0.0,16,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_e_ab,lesion_size,0.9423,0.9408,0.4216,0.0565,0.1319,0.1497,2.8159,0.005372279786279854,0.1263,0.717,0.227,0.8151,0.0314,1.04,0.0,0.0,16,0.005372279786279854
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_e_ab,artifacts,0.9423,0.9408,-0.163,-0.1111,0.039,0.062,-2.6267,0.009317903658012217,-0.2854,-0.0406,-0.2826,-0.0549,-0.093,2.35,0.0,0.0,16,0.009317903658012217
boundary_ambiguity_class_c,Model_1_Univariate,delta_a,delta_a,0.0453,0.0405,0.005,0.2129,0.0016,0.0022,2.27,0.024295224873714272,0.0007,0.0093,0.0011,0.0097,0.2985,1.0,0.0031,0.0,9,0.024295224873714272
