ablation_variant,image_id,skin_tone_group,delta,realization_id,dice,iou
Full CG-Adapter (Ours),000110,FST_III_IV_Medium,0.2,2,0.8130081300813008,0.684931506849315
Full CG-Adapter (Ours),000110,FST_III_IV_Medium,0.2,3,0.8217054263565892,0.6973684210526315
Full CG-Adapter (Ours),000184,FST_III_IV_Medium,0.0,0,0.6578947368421053,0.49019607843137253
Full CG-Adapter (Ours),000184,FST_III_IV_Medium,0.2,1,0.5517241379310345,0.38095238095238093
Full CG-Adapter (Ours),000184,FST_III_IV_Medium,0.2,2,0.5714285714285714,0.4
Full CG-Adapter (Ours),000184,FST_III_IV_Medium,0.2,3,0.6936416184971098,0.5309734513274337
Full CG-Adapter (Ours),000194,FST_III_IV_Medium,0.0,0,0.908641975308642,0.832579185520362
Full CG-Adapter (Ours),000194,FST_III_IV_Medium,0.2,1,0.8140096618357487,0.6863543788187373
Full CG-Adapter (Ours),000194,FST_III_IV_Medium,0.2,2,0.8635838150289017,0.7599186164801628
Full CG-Adapter (Ours),000194,FST_III_IV_Medium,0.2,3,0.8337408312958435,0.7148846960167715
